Точка,Название,Значение,Локализация
DuMai17,Naohu,"Нао (腦) - головной мозг; ху (戶) - дверь. Достигая точки Фэн-фу VG.16, сосуд Ду-май входит внутрь черепа в головной мозг. Точка Нао-ху VG.17 расположена на затылке, на 1,5 цуня выше точки Фэн-фу VG.16, поэтому сравнивается с «дверью головного мозга».","На задней срединной линии, на 2,5 цуня выше задней границы роста волос, на 1,5 цуня выше точки Фэн-фу VG.16, в углублении у верхнего края наружного затылочного выступа."
DuMai18,Qiangjian,"1. «Цян» (强)—«напряжение мышц, ригидность»; «цзянь»  (間) — «щель, промежуток». Точка расположена в области ламбдовидного шва, используется при лечении напряжения мышц задней части шеи, отсюда и название.2. «Цян» (强)—«крепкий, прочный»; «цзянь» (間) — «щель, промежуток». Точка расположена в области ламбдовидного шва, крепко соединяющего затылочную кость с двумя теменными костями.","На 1,5 цуня выше точки Нао-ху VG.17, посередине расстояния между точками Фэн-фу VG.16 и Бай-хуй VG.20."
DuMai19,Houding,"Хоу» (后)—«кзади, задний»; «дин» (顶)—«темя, макушка». В середине темени расположена точка Бай-хуэй VG.20. Точка Хоу-дин VG.19 расположена в задней части теменной области головы на 1,5 цуня кзади от Бай-хуэй VG.20. Противопоставляется точке Цянь-дин VG.21, расположенной в передней части темени на 1,5 цуня кпереди от Бай-хуэй VG.20.","На задней срединной линии, на 5,5 цуня выше задней границы роста волос, на 1,5 цуня прямо вверх от точки Цян-цзянь VG.18, на 1,5 цуня кзади от точки Бай-хуэй VG.20."
DuMai20,Baihui,"Бай (百) - сто, множество»; хуэй (會) - соединение, пересечение. Точка рас- положена в середине темени, в ней пересекается множество каналов почти все Ян-каналы, ножной цзюэ-инь канал печени и сосуд Ду-май. Со всех сторон в определенном порядке расположены различные точки, множество сосудов словно тянутся к соединению.","На срединной линии головы, на 7 цуней выше задней границы роста волос, на 5 цуней кзади от передней границы роста волос, на линии, соединяющей кончики ушей."
DuMai21,Qianding,"«Цянь» (前)- кпереди, передний; «дин» (頂) - темя,макушка. В середине темени расположена точка Бай-хуэй VG.20. Точка Цянь-дин VG.21 расположена в передней части теменной области головы, на 1,5 цуня кпереди от Бай-хуэй VG.20. Противопоставляется точке Хоу-дин VG.19, расположенной в задней части темени, на 1,5 цуня кзади от Бай-хуэй VG.20.","На срединной линии головы, на 3,5 цуня кзади от передней границы роста волос, на 1,5 цуня кпереди от точки Бай-хуэй VG.20."
DuMai22,Xinhui,"«Синь» (囟) — «родничок»; «хуэй» (會)—«соединение, шов». Точка расположена в месте переднего родничка черепа новорожденного, который зарастает на втором году жизни.","На срединной линии головы, на 2 цуня кзади от передней границы роста волос, на 3 цуня кпереди от точки Бай-хуэй VG.20."
DuMai23,Shangxing,"«Шан» (上)—«верх, верхний»; «син» (星) — «звезда». Точка расположена в верхней части головы, словно звезда на небе.","На срединной линии головы, на 1 цунь выше передней границы роста волос."
DuMai24,Shenting,"«Шэнь» (神) — «жизненный дух Шэнь»; «тин» (庭) — «двор, площадка». Точка расположена в области лобной границы роста волос, внутрь от нее — головной мозг. Ли Шичжэнь (1518—1593 гг.) писал: «Головной мозг — это дворец первичной Ци и о/сизненного духа Шэнь». Точка сравнивается с площадью перед воротами «дворца», используется при лечении различных расстройств жизненного духа Шэнь.","На срединной линии головы, на 0,5 цуня выше передней границы роста волос."
DuMai25,Suliao,"1. «Су» （素）- «белый»; «ляо» (膠）一 «акупунктурная точка». Легкие относятся к элементу Металл. Цвет элемента Металл — белый. Легкие открываются в нос. Точка расположена на кончике носа, отсюда и название.2. «Су» (素)—«начало, исток»; «ляо» (髎) — «акупунктурная точка». В древности нос рассматривался как «начало, исток» тела. Точка расположена на кончике носа, отсюда и название.",В середине кончика носа.
DuMai26,Renzhong,"«Шуй-гоу» (人中) - водосточная канава. Точка расположена в носогубной борозде,напоминающей водосточную канаву.","В носогубной борозде, на границе верхней и средней ее трети."
DuMai27,Duiduan,"Дуй (兑) - рот ; дуань (端) - кончик. Точка расположена на кончике верхней губы, отсюда и название.","В центре верхней губы, в месте перехода кожи в слизистую."
DuMai28,Yinjiao,"Инь (齦) - десна; цзяо (交) - соединение. Точка расположена в месте соеди- нения десны и верхней губы. Кроме того, в ней соединяются сосуды Жэнь-май и Ду-май.","В месте перехода десны в верхнюю губу, на середине уздечки верхней губы."
Gb1,Tongziliao,"«Тун цзы» (睦子)一 зрачок; «ляо» (髎)-акупунктурная точка в углублении кости. Точка расположена в углублении наружного края орбиты, кнаружи от наружного угла глаза, на уровне зрачка, отсюда и название.","Кнаружи от наружного угла глаза, в углублении наружного края орбиты."
Gb2,Tinghui,"1. «Тин» (聽) — «слух»; «хуэй» (會) — «способность». Точка расположена кпереди от уха, используется при лечении болезней со снижением слуха, восстанавливает «способность слышать».2. «Тин» ()聽 — «слух»; «хуэй» (會)— «средоточие». Точка расположена кпереди от уха, используется при лечении различных болезней ушей, поэтому сравнивается со «средоточием слуха».","При открытом рте в углублении кпереди от межкозелковой вырезки, у заднего края мыщелкового отростка нижней челюсти."
Gb3,Shangguan,"Шан» (上) — «верхний»; «гуань» (關) — «сустав; точка Ся-гуаньЕ.7». Точка расположена у верхнего края скуловой дуги в области височно-нижнечелюстного сустава, противопоставляется точке Ся-гуань Е.7, которая находится у нижнего края скуловой дуги.","У верхнего края скуловой дуги, в углублении прямо вверх от точки Ся-гуань Е.7."
Gb4,Xuanlu,"1. «Хань» (额） —«трясти головой»; «янь» (厌)一обуздывать, унимать. Точка используется при лечении аномального поднятия Ян печени, сопровождающегося «трясением головы», отсюда и название.2. «Хань» (额)一 нижняя челюсть; «янь» (厌)一 покорный. Точка расположена на виске, в месте, которое «покорно» движется вслед за движениями нижней челюсти при жевании.",В месте соединения верхней 1 и нижних 3Д дугообразной линии между точками Тоу-вэй Е.8 и Цюй-бинь VB.7.
Gb6,Xuanli,"1. «Сюань» (懸) — «висеть, быть подвешенным»; «лу» (厘) — «череп». Точка расположена сбоку черепа, словно «подвешена» между передней границей роста волос и верхним краем уха.2. «Сюань» (懸 ) — «висеть, быть подвешенным»; «лу» (厘) — «череп». Точка словно «подвешена» с двух сторон черепа.",В месте соединения нижней 1/4 и верхних 3/4 дугообразной линии между точками Тоу-вэй Е.8 и Цюй-бинь VB.7.
Gb7,Qubin,"«Цюй» (曲)——«извилина»; «бинь» (鬢) — «волосы на висках». Точка расположена в месте, где граница роста волос на висках делает извилину.","Прямо вверх от заднего края границы роста волос на виске, на уровне точки Цзяо- сунь TR.20 (рис. 84)."
Gb8,Shuaigu,"1. «Шуай» (率) — «следовать»; «гу» (谷) — «ущелье». При нахождении точки необходимо следовать прямо вверх от верхушки уха на 1,5 цуня вглубь от границы роста волос. Точка расположена в напоминающем горное ущелье углублении в месте схождения теменной кости, височной кости и большого крыла клиновидной кости.2. «Шуай» (率)一 《следовать»; «гу» (谷)——《ущелье». Ножной шао-ян канала желчного пузыря начинается у наружного угла глаза, опускается к Тин-хуэй VB.2, поднимается к Хань-янь VB.4, пересекается с ножным ян-мин каналом желудка в Тоу-вэй Е.8, вновь опускается и пересекается с ручным шао-ян каналом Сань-цзяо в Цзяо-сунь TR.20. Затем канальная Ци следует прямо вверх до напоминающего горное ущелье углубления — точки Шуай-гу VB.8.3. «Шуай» (率)一《предводитель, командующий»; «гу» (谷)——《ущелье». Точка расположена на голове, выше всех точек, в названиях которых содержится компонент «гу» (ущелье) словно командующий.","На 1,5 цуня прямо вверх от верхнего края уха, на 1,5 цуня кверху от границы роста волос — точки Цзяо-сунь TR.20."
Gb9,Tianchong,1. «Тянь» (天) — небесный ; «чун» (冲) — важный. Тянь-чун VB.9 расположена на голове — «небесной» части человеческого тела. Является важной точкой лечения болезней головы.2. «Тянь» (天) — небесный; «чун» (冲) — уноситься. Тянь-чун VB.9 расположена на голове ——《небесной» части человеческого тела. От этой точки Ци ножного шао-ян канала желчного пузыря «уносится» вниз по боковой области головы.,"Прямо вверх от заднего края основания уха, на 0,5 цуня кзади от точки Шуай-гу."
Gb10,Fubai,"Название.1. «Фу» (浮) — «всплывать, быть наверху»; «бай» (白) — «светлый». Точка расположена в верхней части тела, способствует «просветлению» головы и глаз.2. «Фу» (浮) — «поверхностный, неглубокий»; «бай» (白) — «белый». Легкие относятся к элементу Металл. Цвет Металла — белый. Точку можно использовать при лечении болезней наружного синдрома, связанного с проникновением патогенной Ци в легкие, отсюда и название.","Кзади и кверху от сосцевидного отростка, в месте соединения верхней 1 и нижних 2/з дугообразной линии между точками Тянь-чун VB.9 и Вань-гу VB.12, проходящей по краю сосцевидного отростка."
Gb11,Touqiaoyin,"«Тоу» (头)一 《голова»; «цяо» (窍) — «отверстия»; «инь» (阴) — «Инь-органы». Пять цзан-органов являются Инь-органами, они связаны с «отверстиями на голове»: сердце открывается в язык, печень открывается в глаза, почки открываются в уши, селезенка открывается в рот, легкие открываются в нос.Точка расположена на голове, может использоваться при лечении болезней «отверстий Инь-органов на голове», отсюда и название.","У основания сосцевидного отростка, в месте соединения нижней х/з и верхних 2/з дугообразной линии между точками Тянь-чун VB.9 и Вань-гу VB.12, проходящей по краю сосцевидного отростка."
Gb12,Wangu,"«Вань» (完)一 конец, конечный ; «гу» (骨)—— кость . «Вань-гу» (完谓)一древний анатомический термин, обозначающий сосцевидный отросток височной кости, у задне-нижнего края которого расположена эта точка.",В углублении у задне-нижнего края сосцевидного отростка височной кости.
Gb13,Benshen,"«Бэнь» (本)一исток ; «шэнь» (神)一 жизненный дух Шэнь. Точка расположена в области лобной границы роста волос, внутри — головной мозг. Используется при лечении сумасшествия, эпилепсии и других психических заболеваний, вызванных нарушениями в желчном пузыре и печени, «возвращает жизненный дух Шэнь к истоку», то есть к естественному состоянию.",Ма 3 цуня кнаружи от точки Шэнь-тин VX3.24.
Gb14,Yangbai,"«Ян» (陽)一  Ян-Ци ; «бай» (白)一 белизна, свет . Точка расположена на голове. Все ручные и ножные Ян-каналы собираются на голове и лице, здесь сосредоточена вся Ян-Ци организма. Точка используется при лечении болезней глаз, вызванных восприятием патогенного ветра, способствует возвращению «света» глаз.","Прямо вверх от зрачка, на 1 цунь выше середины брови (рис. 86)."
Gb15,Toulinqi,"«Тоу» (头)—«голова»; «линь» (臨) — «сверху вниз»; «ци» (泣)—«слезотечение». Точка расположена на голове, используется при лечении болезней глаз, когда реакция на укалывание опускается сверху вниз к глазам и лечит слезотечение.","Прямо вверх от зрачка и точки Ян，бай VBЛ4, на 0,5 цуня выше передней границы роста волос."
Gb16,Muchuang,"«Му» (目) — «глаза»; «чуан» (窗) — «отдушина в потолке». Точка расположена прямо вверх от глаза, на линии, проходящей с двух сторон макушки, словно отдушина в потолке комнаты. Используется при лечении болезней глаз.","На 1 цунь кзади от точки Тоу-линь-ци VB. 15, на соединительной линии между точ- ками Тоу-линь-ци VB.15 и Фэн-чи VB.20, на 2,25 цуня кнаружи от задней срединной линии."
Gb17,Zhengying,"Чжэн (正)—«приводить в порядок»; ин (營) — «питательная Ци». Питательная Ци предводительствует кровью.Глаза получают кровь и могут видеть» (канон «Су вэнь»). Точка Чжэн-ин VB.17 используется при лечении болезней головного мозга и глаз, приводит в порядок питательную Ци, помогает ей «предводительствовать кровью», чтобы «глаза получили кровь».","На 1 цунь кзади от точки Му-чуан VB.16, на соединительной линии между точками Тоу-линь-ци VB.15 и Фэн-чи VB.20, на 2,25 цуня кнаружи от задней срединной линии."
Gb18,Chengling,"Чэн (承)—«принимать, брать на себя»; лин (灵)—«душа». Головной мозг- место, где хранится душа человека.Точка расположена на голове, внутри — головной мозг. Чэн-лин VB.18 может «принять, взять на себя душу» при лечении болезней головы, отсюда и название. ","На 1,5 цуня кзади от точки Чжэн-ин VB.17, на соединительной линии между точками Тоу-линь-ци VB.15 и Фэн-чи VB.20, на 2,25 цуня кнаружи от задней срединной линии."
Gb19,Naokong,"Нао» (腦) — «головной мозг»; «кун» (空)—«углубление; полость». Точка находится в углублении на затылке, внутрь от точки в полости черепа — головной мозг.","На 1,5 цуня прямо вверх от точки Фэн-чи VB.20, на уровне верхней границы наружного затылочного выступа, на 2,25 цуня кнаружи от задней срединной линии."
Gb20,Fengchi,"Фэн» (風) — «ветер»; «чи» (池) — «озеро». Точка расположена в углублении, напоминающем озеро, используется при лечении всех болезней, вызванных патогенным ветром, поэтому сравнивается с «озером ветра».","Под затылочной костью, на уровне точки Фэн-фу VG. 16，в углублении между верхними концами грудино-ключично-сосцевидной и трапециевидной мышц."
Gb21,Jianjing,"«Цзянь» (肩) — «надплечье»; «цзин» (井) — «колодец». Точка Цзянь-цзин VB.21 расположена в области надплечья, в углублении, напоминающем колодец.","Посередине линии, соединяющей точку Да-чжуй VG.14 и латеральный край акромиона ."
Gb22,Yuanye,"«Юань» (渊)—«глубокий водоем»; «е» (腋) — «подмышка». Точка расположена на средней подмышечной линии, словно «глубокий водоем в подмышке.","На средней подмышечной линии, в IV межреберном промежутке. Используют точку при поднятой вверх руке."
Gb23,Zhejin,"Чжэ» (輒) — «боковые стенки экипажа»; «цзинь» (筋)—«мышцы». В боковых частях грудной клетки, где расположена точка, с двух сторон проходят «большие мышцы», словно стенки экипажа.","На 1 цунь кпереди от точки Юань-е VB.22, в IV межреберном промежутке, на уровне соска."
Gb24,Riyue,"1. «Жи» (日) — «солнце»; «юэ» (月) — «луна». Жи-юэ VB.24 — му-точка живота желчного пузыря. Желчный пузырь управляет решительностью, а для решительности необходим разум. Иероглиф «мин» состоит из двух компонентов —  «жи» (日солнце) и «юэ» (月луна).2. «Жи» (日) — «солнце»; «юэ» (月) — «луна». Жи-юэ VB.24 — му-точка живота желчного пузыря. Расположена ниже Ци-мэнь F.14 — му-точки живота печени. И та и другая расположены близко и повернуты друг к другу, совершенно как солнце (жи) и луна (юэ) — Ян и Инь.3. «Жи» (日) — «солнце»; «юэ» (月) — «луна». Солнце, как и желчный пузырь, относится к Ян. Луна, как и печень, относится к Инь. Жи-юэ VB.24 — важная точка лечения болезней печени и желчного пузыря","Прямо вниз от соска, в VII межреберном промежутке, на 1 ребро прямо вниз от точки Ци-мэнь F.14."
Gb25,Jingmen,"1. «Цзин» (京) — «столица, столичный»; «мэнь» (門) — «ворота». Цзин-мэнь VB.25 — му-точка живота почек, используется при лечении нарушения циркуляции в водных путях организма, сравнивается со «столичными воротами» водных путей.2. «Цзин» (京) — «десять миллионов»; «мэнь» (門) — «ворота; важное, ключевое место». Цзин- мэнь VB.25 — му-точка живота почек, место, где собирается Ци почек — первичная Ци организма человека, важность которой трудно сосчитать и десятью миллионами. Таким образом,",У свободного конца XII ребра.
Gb26,Daimai,"Дай (带)- пояс, кушак; май (脉)- сосуд. Точка получила название от сосуда Дай-май, так как расположена в месте его прохождения и используется при лечении его болезней.","Прямо вниз от точки Чжан-мэнь F.13, на уровне пупка."
Gb27,Wushu,"«У» (五) - пять; «шу» (枢) - шарнир. «У» (五 пять) — то же что и «у» (午) переплетаться вдоль и поперек).В месте расположения точки ножной шао-ян канал желчного пузыря «переплетается вдоль и поперек». Точка расположена в месте, которое можно сравнить с «шарниром» бедренной кости. Кроме того, У-шу VB.27 относится к ножному шао-ян каналу желчного пузыря, а в каноне «Хуанди нэй цзин» (Канон Желтого императора о внутреннем) каналы типа шао-ян отнесены к шарнирам.","Кпереди от верхней передней подвздошной ости, на уровне точки Гуань-юань VC.4, на 3 цуня кпереди и книзу от точки Дай-май VB.26."
Gb28,Weidao,"«Вэй» (維) — «соединять, связывать»; «дао» (道)—«путь». Вэй-дао VB.28 является точкой пересечения ножного шао-ян канала желчного пузыря и сосуда Дай-май, поэтому и называется соединяющая пути.","Кпереди и книзу от верхней передней подвздошной ости, на 0,5 цуня кпереди и книзу от точки У-шу VB.27."
Gb29,Juliao,"Цзюй» (居) - «находиться, пребывать, проживать»; «ляо» -(髎)акупунктурнаяточка в углублении кости». Точка находится в углублении в области тазобедренного сустава, отсюда и название.","В углублении посередине линии, соединяющей верхнюю переднюю подвздошную ость и большой вертел бедренной кости. Используют точку, когда пациент лежит на боку."
Gb30,Huantiao,"Хуань» (環) — «вращаться, сгибаться»; «тяо» (跳) — «прыгать». Во время прыжков человек сгибает ноги в тазобедренных и коленных суставах. Точка используется при лечении боли, слабости, нарушения чувствительности и паралича нижней конечности, восстанавливает способность прыгать, сгибая ноги.","На границе наружной х/з и внутренних 2/з линии, соединяющей большой вертел бедренной кости и крестцовую щель. Находят и используют точку, когда пациент лежит на боку с выпрямленной нижней ногой и согнутой верхней ногой."
Gb31,Fengshi,"Фэн (風) - ветер; «ши» (市)-город, место скопления». Фэн-ши VB.31 расположена на наружной поверхности бедра, в месте, через которое в нижние конечности проникает и через которое изгоняется путем воздействия на точку патогенный ветер. Фэн-ши VB.31 — важная точка лечения слабости, онемения, боли и паралича нижней конечности, вызванных скоплением патогенного ветра, способствует рассеиванию ветра.","На срединной линии наружной поверхности бедра, на 7 цуней выше уровня подколенной складки. В положении стоя с опущенными руками кончик сред- него пальца опущенной руки указывает на место расположения точки."
Gb32,Zhongdu,"«Чжун» (中)—«середина, промежуток»; «ду» (瀆)—«канава». Точка расположена в напоминающей канаву борозде между латеральной широкой мышцей бедра и двуглавой мышцей бедра, в промежутке между ножным тай-ян каналом мочевого пузыря и ножным ян-мин каналом желудка, отсюда и название.","На наружной поверхности бедра, на 2 цуня ниже точки Фэн-ши VB.31, на 5 цуней выше уровня подколенной складки."
Gb33,Xiyangguan,"Си  (膝) - колено; «ян» (陽)一 наружная Ян-сторона; гуань (關) - сустав. Точка расположена на 51н-стороне области коленного сустава, отсюда и название.",На 3 цуня выше точки Ян-лин-цюань 34，в углублении у верхнего края лате- рального мыщелка бедренной кости.
Gb34,Yanglingquan,"«Ян» (陽)一 «наружная Ян-сторона колена»; «лин» (陵)—«холм»; «цюань» (泉)— «родник» Головка малоберцовой кости возвышается словно холм, углубление у ее передне-нижнего края напоминает родник, поэтому точка сравнивается с «родником у холма на наружной стороне колена».",В углублении у передне-нижнего края головки малоберцовой кости.
Gb35,Yangjiao,«Ян» (陽) - Ян-каналы; «цзяо» (交) — пересечение. Ян-цзяо VB.35 является точкой пересечения Ян-каналов —ножного шао-ян канала желчного пузыря и сосуда Ян-вэй-май.,"На 7 цуней выше вершины латеральной лодыжки, у заднего края малоберцовой кости."
Gb36,Waiqiu,"Вай»(外) - наружная сторона»; «цю» (丘) - холм. Точка расположена на наруж- ной стороне голени, в месте, где мышцы возвышаются, словно холм.","На 7 цуней выше латеральной лодыжки, у переднего края малоберцовой кости."
Gb37,Guangming,"«Гуан мин» (光明) - свет. Гуан-мин VB.37 ——важная точка лечения болезней глаз, способствует «просветлению» глаз, отсюда и название.","На 5 цуней выше латеральной лодыжки, у переднего края малоберцовой кости."
Gb38,Yangfu,"«Ян» (陽) — «Ян-сторона тела»; «фу» (輔) — «вспомогательная кость». В древности малоберцовую и лучевую кости называли «вспомогательными костями».Точка расположена на Ян-стороне тела у переднего края малоберцовой кости, отсюда и название.","На 4 цуня выше латеральной лодыжки, в углублении у переднего края малоберцовой кости ."
Gb39,Xuanzhong,"Сюань» (懸)- висеть, быть подвешенным; «чжун» (鐘) - колокольчик. Точка расположена на 3 цуня выше лодыжки. В древности детям к этому месту часто подвешивали колокольчик, поэтому точка и сравнивается с «подвешенным колокольчиком».","На 3 цуня выше латеральной лодыжки, в углублении между передним краем малоберцовой кости и сухожилием короткой малоберцовой мышцы."
Gb40,Qiuxu,"Цю» (丘)—«холм»; «сюй» — (墟)«большой холм». Точка расположена вблизи латеральной лодыжки, которая напоминает большой холм.","Кпереди и книзу от латеральной лодыжки, в углублении у латеральной стороны сухожилия длинного разгибателя пальцев стопы."
Gb41,Zulinqi,"Цзу» (足) — «нога»; «линь» (臨) — «сверху вниз»; «ци» (泣)— «слезотечение». Цзу- линь-ци VB.41 противопоставляется точке Тоу-линь-ци VB.15, является точкой «линь-ци» на ноге.","Между IV и V плюсневыми костями, в углублении у латеральной стороны сухожилия разгибателя мизинца стопы, на 1,5 цуня кверху от точки Ся-си VB.43."
Gb42,Diwuhui,"1. «Ди» (地) -  «земля»; «у» (五) - пять; «хуэй» (會) -  мочь, быть в состоянии. Эта точка используется при лечении болезней стопы, когда пять (у) пальцев ноги не в состоянии коснуться земли способствует тому, чтобы пять (у) пальцев ноги смогли (д:уэй) коснуться земли.2. «Ди» (地)—— земля ; «у» (五)— пять ; «хуэй» (會) - собираться . Иероглиф «ди»  в данном случае указывает на ступни. Число пять (у) соотносится с элементом Земля Точка расположена на ступне, которая относится к «земной»  части человеческого тела, здесь собирается (хуэй) Ци «земного» начала. Точка используется при лечении отечности и боли в области тыла стопы, отсюда и название.","Между IV и V плюсневыми костями, у внутреннего края сухожилия разгибателя мизинца, на 1 цунь вверх от точки Ся-си VB.43."
Gb43,Xiaxi,"Ся» (侠)—«быть зажатым с двух сторон»; «си» (谿) — «горный ручей». Точка «зажата» в промежутке между IV и V пальцами, словно горный ручей.","На тыле стопы, на конце межпальцевой складки между IV и V пальцами стопы."
Gb44,Zuqiaoyin,"1. «Цзу» (足)— нога, ножной»; «цяо» (竅)— отверстие»; «инь» (阴)一 Инь-органы . Точка расположена на ноге, противопоставляется точке Тоу-цяо-инь VB.11, расположенной на голове, используется при лечении «отверстий» цзан-органов (Инь-органов) — глаз (печень), ушей (почки), рта (селезенка) и носа (легкие).2. «Цзу» (>£) — «нога»; «цяо» (^) — «отверстие»; «инь» (Ш) — «Инь-сторона тела; Инь-канал» Ножной шао-ян канал желчного пузыря от точки Ян-цзяо VB.35 переходит на Инь-сторону тела и идет по ней до точки Цзу-цяо-инь VB.44, вливаясь в Инь-канал — ножной цзюэ-инь канал печени.","На наружной стороне IV пальца стопы, приблизительно на 0,1 цуня от угла ногтя."
Ht1,Jiquan,"Цзи» (极)——《самый глубокий»; «цюаньо (泉)——《родник». Точка расположена в самом глубоком месте подмышечной впадины, напоминающей родник.","При отведенной руке в центре подмышечной впадины, у медиальной стороны подмышечной артерии ."
Ht2,Qingling,"《Цин» (青)一《зеленый»; «лин» (灵)一《душа, божественное». Зеленый — это цвет весны, цвет жизнеспособности всего сущего. Сердце — корень жизни, управляет кровеносными сосудами, хранит жизненный дух Шэнь. Точка Цин-лин С.2 относится к ручному шао-инь каналу сердца.Точки этого канала содействуют нормализации циркуляции в кровеносных сосудах, поддерживают жизнеспособность божественного духа Шэнь.","На линии, соединяющей точки Цзи-цюань С.1 и Шао-хай С.З, на 3 цуня выше точки Шао-хай С.З."
Ht3,Shaohai,"Шао» (少)一《ручной шао- инь канал сердца»; «хай» (海)——《море». Шао-хай С.З —точка-устье ручного шао-инь канала сердца. В точках-устьях канальная Ци становится обильной, подобно реке, впадающей в море (хай).",При согнутой в локтевом суставе под прямым углом руке в углублении между локтевым краем складки локтевого сгиба и медиальным надмыщелком плечевой кости.
Ht4,Lingdao,"Лин» (灵)一《душа, божественное»; «дао» (道)——《путь; прокладывать путь». Сердце хранит жизненный дух Шэнь。Точка Лин-дао С.4 относится к ручному шао-инь каналу сердца, способствует нормализации состояния жизненного духа Шэнь. Воздействие на точку можно сравнить с прокладыванием пути (дао) к божественному (лин) духу Шэнь.","У лучевой стороны сухожилия локтевого сгибателя запястья, на 1,5 цуня выше проксимальной лучезапястной складки."
Ht5,Tongli,"《Тун» (通)—«проходить»; «ли» (里)一 «место соединения». Тун-ли С.5 一 точка коллатерали ручного шао-инь канала сердца, от нее отходит коллатераль ручного шао-инь, проходит (тун) к месту соединения (ли) с ручным тай-ян каналом тонкого кишечника.","У лучевой стороны сухожилия локтевого сгибателя запястья, на 1 цунь выше проксимальной лучезапястной складки."
Ht6,Yinxi,"«Инь» (阴)——《Инь-канал; недостаток Инь»; «си» (杀|5)——《точка-щель». Инь-си С.6 — точка-щель ручного шао-инь канала сердца, ее основной функцией является восполнение недостатка Инь, отсюда и название.","На лучевой стороне сухожилия локтевого сгибателя кисти, на 0,5 цуня выше проксимальной лучезапястной складки ."
Ht7,Shenmen,"«Шэнь» — «жизненный дух Шэнь»; «мэнь»  — «ворота». Сердце хранит жизненный дух Шэнь. Шэнь-мэнь С.7 — точка-быстрина и точка первичной Ци ручного шао-инь канала сердца, эффективна при лечении расстройств жизненного духа Шэнь, сравнивается с «воротами» (мэнь) жизненного духа Шэнь.","У локтевого края проксимальной лучезапястной складки, у лучевого края сухожилия локтевого сгибателя запястья, в щели между гороховидной и локтевой костями."
Ht8,Shaofu,"«Шао» (少)——ручной шао- инь канал сердца»; «фу» (府)一дворецсредоточие, место скопления. Сердце хранит жизненный дух Шэнь，то есть является «дворцом» (必^/) жизненного духа Шэнь. Точка относится к ручному шао-инь каналу сердца, может использоваться при различных расстройствах жизненного духа Шэнь.","На ладонной поверхности кисти между IV и V пястными костями, на уровне точки Лао-гун МС.8. При сгибании кисти в кулак кончик мизинца соответствует расположению точки ."
Ht9,Shaochong,"Шао» (少)一ручной шао-инь канал сердца； маленький, небольшой»; «чун» — пробиваться, рваться вперед, устремляться. Шао-чун С.9 является точкой-истоком ручного шао-инь канала сердца. В точках-истоках канальная Ци еще мала, как вода, пробивающаяся из небольшого родника.","На лучевой стороне мизинца, приблизительно на 0，1 цуня от угла ногтя ."
